asset_id,source_dataset,source_row_id,video_locator_raw,video_name,video_origin_id,underlying_source,clip_start_sec,clip_end_sec,task_type_raw,source_tag,temporal_scope_raw,content_dimension_raw,response_format_raw,interaction_mode_raw,has_user_timestamp,has_assistant_timestamp,has_think_timestamp,has_support_span,ask_time_sec,response_st_time_sec,response_end_time_sec,response_instant_time_sec,estimated_video_duration_sec,question_text_preview,response_text_preview,response_text_length,num_questions,num_responses,num_conversations,num_thoughts,total_think_chars,has_options
streamo_0000000,streamo,0,coin/NLy71UrHElw.mp4,NLy71UrHElw.mp4,NLy71UrHElw,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,25.0,26.0,,26.0,Locate and pinpoint a sequential series of specific actions or steps in the video.,begin to run up,15,1,3,4,0,0.0,False
streamo_0000001,streamo,1,coin/jXYZEb-56Wc.mp4,jXYZEb-56Wc.mp4,jXYZEb-56Wc,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,112.0,121.0,,121.0,Identify and mark the video segments corresponding to a series of actions or steps.,wipe screen,11,1,5,6,0,0.0,False
streamo_0000002,streamo,2,coin/ar2vXJj_dQI.mp4,ar2vXJj_dQI.mp4,ar2vXJj_dQI,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,132.0,179.0,,179.0,Locate and describe a series of actions or steps in the video.,install the new faucet,22,1,3,4,0,0.0,False
streamo_0000003,streamo,3,coin/oDAY5PMwZgU.mp4,oDAY5PMwZgU.mp4,oDAY5PMwZgU,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,14.0,17.0,,17.0,Locate and pinpoint a sequential series of specific actions or steps in the video.,insert money into the vending machine,37,1,3,4,0,0.0,False
streamo_0000004,streamo,4,coin/CWmC03KVuPU.mp4,CWmC03KVuPU.mp4,CWmC03KVuPU,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,220.0,224.0,,224.0,Identify and localize a series of steps or actions occurring in the video.,prepare and add the tea,23,1,7,8,0,0.0,False
streamo_0000005,streamo,5,coin/ot_sBwstblw.mp4,ot_sBwstblw.mp4,ot_sBwstblw,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,26.0,38.0,,38.0,Locate and pinpoint a sequential series of specific actions or steps in the video.,begin to run up,15,1,3,4,0,0.0,False
streamo_0000006,streamo,6,coin/gnlUBK-cvfc.mp4,gnlUBK-cvfc.mp4,gnlUBK-cvfc,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,45.0,55.0,,55.0,Identify and mark the video segments corresponding to a series of actions or steps.,knead the meat,14,1,3,4,0,0.0,False
streamo_0000007,streamo,7,coin/n0HdUsT48p8.mp4,n0HdUsT48p8.mp4,n0HdUsT48p8,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,37.0,51.0,,51.0,Locate and describe a series of actions or steps in the video.,show the blank paper,20,1,3,4,0,0.0,False
streamo_0000008,streamo,8,coin/v4z4s8a7YqE.mp4,v4z4s8a7YqE.mp4,v4z4s8a7YqE,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,25.0,27.0,,27.0,Identify and localize a series of steps or actions occurring in the video.,cross the rope to wrap the bolt,31,1,3,4,0,0.0,False
streamo_0000009,streamo,9,coin/iD9JmUkGpOA.mp4,iD9JmUkGpOA.mp4,iD9JmUkGpOA,unknown,,,Action_Caption,coin,,,,,True,True,False,True,0.0,117.0,123.0,,123.0,Locate and pinpoint a sequential series of specific actions or steps in the video.,remove the head,15,1,4,5,0,0.0,False
